Dataset,Limiar,Cost,Quality,Time,Memory
fnl4461,182566,254672,1.39,171.98,3600.69
rl5915,"[565040,565530]",840349,1.49,304.8,6876.48
rl5934,"[554070,556045]",827483,1.49,314.15,6914.46
